ID,AdCount,AdId,State,AOI,TFF,FPG,SPG,RFX,SFX,ODT
1,7,342,TRAINING,COM,0,0,0,0,0,0
1,8,197,TRAINING,TIT,0,0,0,0,0,0
1,8,197,TRAINING,PIC,0,0,0,0,0,0
1,8,197,TRAINING,MPC,0,0,0,0,0,0
1,8,197,TRAINING,MPO,0,0,0,0,0,0
1,8,197,TRAINING,FAC,0,0,0,0,0,0
1,8,197,TRAINING,COS,0,0,0,0,0,0
1,8,197,TRAINING,LOC,0,0,0,0,0,0
1,8,197,TRAINING,OBJ,0,0,0,0,0,0
1,8,197,TRAINING,ROM,0,0,0,0,0,0
1,8,197,TRAINING,SUR,0,0,0,0,0,0
1,8,197,TRAINING,FCT,0,0,0,0,0,0
1,8,197,TRAINING,FSD,0,0,0,0,0,0
1,8,197,TRAINING,COM,0,0,0,0,0,0
1,9,298,TRAINING,TIT,0,0,0,0,0,0
1,9,298,TRAINING,PIC,0,0,0,0,0,0
1,9,298,TRAINING,MPC,0,0,0,0,0,0
1,9,298,TRAINING,MPO,0,0,0,0,0,0
1,9,298,TRAINING,FAC,0,0,0,0,0,0
1,9,298,TRAINING,COS,0,0,0,0,0,0
1,9,298,TRAINING,LOC,0,0,0,0,0,0
1,9,298,TRAINING,OBJ,0,0,0,0,0,0
1,9,298,TRAINING,ROM,0,0,0,0,0,0
1,9,298,TRAINING,SUR,0,0,0,0,0,0
1,9,298,TRAINING,FCT,0,0,0,0,0,0
1,9,298,TRAINING,FSD,0,0,0,0,0,0
1,9,298,TRAINING,COM,0,0,0,0,0,0
1,10,314,TRAINING,TIT,0,0,0,0,0,0
1,10,314,TRAINING,PIC,0,0,0,0,0,0
1,10,314,TRAINING,MPC,0,0,0,0,0,0
1,10,314,TRAINING,MPO,0,0,0,0,0,0
1,10,314,TRAINING,FAC,0,0,0,0,0,0
1,10,314,TRAINING,COS,0,0,0,0,0,0
1,10,314,TRAINING,LOC,0,0,0,0,0,0
1,10,314,TRAINING,OBJ,0,0,0,0,0,0
1,10,314,TRAINING,ROM,0,0,0,0,0,0
1,10,314,TRAINING,SUR,0,0,0,0,0,0
1,10,314,TRAINING,FCT,0,0,0,0,0,0
1,10,314,TRAINING,FSD,0,0,0,0,0,0
1,10,314,TRAINING,COM,0,0,0,0,0,0
1,11,175,TRAINING,TIT,0,0,0,0,0,0
1,11,175,TRAINING,PIC,0,0,0,0,0,0
1,11,175,TRAINING,MPC,0,0,0,0,0,0
1,11,175,TRAINING,MPO,0,0,0,0,0,0
1,11,175,TRAINING,FAC,0,0,0,0,0,0
1,11,175,TRAINING,COS,0,0,0,0,0,0
1,11,175,TRAINING,LOC,0,0,0,0,0,0
1,11,175,TRAINING,OBJ,0,0,0,0,0,0
1,11,175,TRAINING,ROM,0,0,0,0,0,0
1,11,175,TRAINING,SUR,0,0,0,0,0,0
1,11,175,TRAINING,FCT,0,0,0,0,0,0
1,11,175,TRAINING,FSD,0,0,0,0,0,0
1,11,175,TRAINING,COM,0,0,0,0,0,0
1,12,146,TRAINING,TIT,0,0,0,0,0,0
1,12,146,TRAINING,PIC,0,0,0,0,0,0
1,12,146,TRAINING,MPC,0,0,0,0,0,0
1,12,146,TRAINING,MPO,0,0,0,0,0,0
1,12,146,TRAINING,FAC,0,0,0,0,0,0
1,12,146,TRAINING,COS,0,0,0,0,0,0
1,12,146,TRAINING,LOC,0,0,0,0,0,0
1,12,146,TRAINING,OBJ,0,0,0,0,0,0
1,12,146,TRAINING,ROM,0,0,0,0,0,0
1,12,146,TRAINING,SUR,0,0,0,0,0,0
1,12,146,TRAINING,FCT,0,0,0,0,0,0
1,12,146,TRAINING,FSD,0,0,0,0,0,0
1,12,146,TRAINING,COM,0,0,0,0,0,0
1,13,123,TRAINING,TIT,0,0,0,0,0,0
1,13,123,TRAINING,PIC,0,0,0,0,0,0
1,13,123,TRAINING,MPC,0,0,0,0,0,0
1,13,123,TRAINING,MPO,0,0,0,0,0,0
1,13,123,TRAINING,FAC,0,0,0,0,0,0
1,13,123,TRAINING,COS,0,0,0,0,0,0
1,13,123,TRAINING,LOC,0,0,0,0,0,0
1,13,123,TRAINING,OBJ,0,0,0,0,0,0
1,13,123,TRAINING,ROM,0,0,0,0,0,0
1,13,123,TRAINING,SUR,0,0,0,0,0,0
1,13,123,TRAINING,FCT,0,0,0,0,0,0
1,13,123,TRAINING,FSD,0,0,0,0,0,0
1,13,123,TRAINING,COM,0,0,0,0,0,0
1,14,150,DEFAULT,TIT,0,0,0,0,0,0
1,14,150,DEFAULT,PIC,0,0,0,0,0,0
1,14,150,DEFAULT,MPC,0,0,0,0,0,0
1,14,150,DEFAULT,MPO,0,0,0,0,0,0
1,14,150,DEFAULT,FAC,0,0,0,0,0,0
1,14,150,DEFAULT,COS,0,0,0,0,0,0
1,14,150,DEFAULT,LOC,0,0,0,0,0,0
1,14,150,DEFAULT,OBJ,0,0,0,0,0,0
1,14,150,DEFAULT,ROM,0,0,0,0,0,0
1,14,150,DEFAULT,SUR,0,0,0,0,0,0
1,14,150,DEFAULT,FCT,0,0,0,0,0,0
1,14,150,DEFAULT,FSD,0,0,0,0,0,0
1,14,150,DEFAULT,COM,0,0,0,0,0,0
1,15,421,DEFAULT,TIT,0,0,0,0,0,0
1,15,421,DEFAULT,PIC,0,0,0,0,0,0
1,15,421,DEFAULT,MPC,0,0,0,0,0,0
1,15,421,DEFAULT,MPO,0,0,0,0,0,0
1,15,421,DEFAULT,FAC,0,0,0,0,0,0
1,15,421,DEFAULT,COS,0,0,0,0,0,0
1,15,421,DEFAULT,LOC,0,0,0,0,0,0
1,15,421,DEFAULT,OBJ,0,0,0,0,0,0
1,15,421,DEFAULT,ROM,0,0,0,0,0,0
1,15,421,DEFAULT,SUR,0,0,0,0,0,0
1,15,421,DEFAULT,FCT,0,0,0,0,0,0
1,15,421,DEFAULT,FSD,0,0,0,0,0,0
1,15,421,DEFAULT,COM,0,0,0,0,0,0
1,16,240,DEFAULT,TIT,0,0,0,0,0,0
1,16,240,DEFAULT,PIC,0,0,0,0,0,0
1,16,240,DEFAULT,MPC,0,0,0,0,0,0
1,16,240,DEFAULT,MPO,0,0,0,0,0,0
1,16,240,DEFAULT,FAC,0,0,0,0,0,0
1,16,240,DEFAULT,COS,0,0,0,0,0,0
1,16,240,DEFAULT,LOC,0,0,0,0,0,0
1,16,240,DEFAULT,OBJ,0,0,0,0,0,0
1,16,240,DEFAULT,ROM,0,0,0,0,0,0
1,16,240,DEFAULT,SUR,0,0,0,0,0,0
1,16,240,DEFAULT,FCT,0,0,0,0,0,0
1,16,240,DEFAULT,FSD,0,0,0,0,0,0
1,16,240,DEFAULT,COM,0,0,0,0,0,0
1,17,443,DEFAULT,TIT,0,0,0,0,0,0
1,17,443,DEFAULT,PIC,0,0,0,0,0,0
1,17,443,DEFAULT,MPC,0,0,0,0,0,0
1,17,443,DEFAULT,MPO,0,0,0,0,0,0
1,17,443,DEFAULT,FAC,0,0,0,0,0,0
1,17,443,DEFAULT,COS,0,0,0,0,0,0
1,17,443,DEFAULT,LOC,0,0,0,0,0,0
1,17,443,DEFAULT,OBJ,0,0,0,0,0,0
1,17,443,DEFAULT,ROM,0,0,0,0,0,0
1,17,443,DEFAULT,SUR,0,0,0,0,0,0
1,17,443,DEFAULT,FCT,0,0,0,0,0,0
1,17,443,DEFAULT,FSD,0,0,0,0,0,0
1,17,443,DEFAULT,COM,0,0,0,0,0,0
1,18,396,DEFAULT,TIT,0,0,0,0,0,0
1,18,396,DEFAULT,PIC,0,0,0,0,0,0
1,18,396,DEFAULT,MPC,0,0,0,0,0,0
1,18,396,DEFAULT,MPO,0,0,0,0,0,0
1,18,396,DEFAULT,FAC,0,0,0,0,0,0
1,18,396,DEFAULT,COS,0,0,0,0,0,0
1,18,396,DEFAULT,LOC,0,0,0,0,0,0
1,18,396,DEFAULT,OBJ,0,0,0,0,0,0
1,18,396,DEFAULT,ROM,0,0,0,0,0,0
1,18,396,DEFAULT,SUR,0,0,0,0,0,0
1,18,396,DEFAULT,FCT,0,0,0,0,0,0
1,18,396,DEFAULT,FSD,0,0,0,0,0,0
1,18,396,DEFAULT,COM,0,0,0,0,0,0
1,19,78,DEFAULT,TIT,0,0,0,0,0,0
1,19,78,DEFAULT,PIC,0,0,0,0,0,0
1,19,78,DEFAULT,MPC,0,0,0,0,0,0
1,19,78,DEFAULT,MPO,0,0,0,0,0,0
1,19,78,DEFAULT,FAC,0,0,0,0,0,0
1,19,78,DEFAULT,COS,0,0,0,0,0,0
1,19,78,DEFAULT,LOC,0,0,0,0,0,0
1,19,78,DEFAULT,OBJ,0,0,0,0,0,0
1,19,78,DEFAULT,ROM,0,0,0,0,0,0
1,19,78,DEFAULT,SUR,0,0,0,0,0,0
1,19,78,DEFAULT,FCT,0,0,0,0,0,0
1,19,78,DEFAULT,FSD,0,0,0,0,0,0
1,19,78,DEFAULT,COM,0,0,0,0,0,0
1,20,325,DEFAULT,TIT,0,0,0,0,0,0
1,20,325,DEFAULT,PIC,0,0,0,0,0,0
1,20,325,DEFAULT,MPC,0,0,0,0,0,0
1,20,325,DEFAULT,MPO,0,0,0,0,0,0
1,20,325,DEFAULT,FAC,0,0,0,0,0,0
1,20,325,DEFAULT,COS,0,0,0,0,0,0
1,20,325,DEFAULT,LOC,0,0,0,0,0,0
1,20,325,DEFAULT,OBJ,0,0,0,0,0,0
1,20,325,DEFAULT,ROM,0,0,0,0,0,0
1,20,325,DEFAULT,SUR,0,0,0,0,0,0
1,20,325,DEFAULT,FCT,0,0,0,0,0,0
1,20,325,DEFAULT,FSD,0,0,0,0,0,0
1,20,325,DEFAULT,COM,0,0,0,0,0,0
1,21,112,COLORING,TIT,0,0,0,0,0,0
1,21,112,COLORING,PIC,0,0,0,0,0,0
1,21,112,COLORING,MPC,0,0,0,0,0,0
1,21,112,COLORING,MPO,0,0,0,0,0,0
1,21,112,COLORING,FAC,0,0,0,0,0,0
1,21,112,COLORING,COS,0,0,0,0,0,0
1,21,112,COLORING,LOC,0,0,0,0,0,0
1,21,112,COLORING,OBJ,0,0,0,0,0,0
1,21,112,COLORING,ROM,0,0,0,0,0,0
1,21,112,COLORING,SUR,0,0,0,0,0,0
1,21,112,COLORING,FCT,0,0,0,0,0,0
1,21,112,COLORING,FSD,0,0,0,0,0,0
1,21,112,COLORING,COM,0,0,0,0,0,0
1,22,306,COLORING,TIT,0,0,0,0,0,0
1,22,306,COLORING,PIC,0,0,0,0,0,0
1,22,306,COLORING,MPC,0,0,0,0,0,0
1,22,306,COLORING,MPO,0,0,0,0,0,0
1,22,306,COLORING,FAC,0,0,0,0,0,0
1,22,306,COLORING,COS,0,0,0,0,0,0
1,22,306,COLORING,LOC,0,0,0,0,0,0
1,22,306,COLORING,OBJ,0,0,0,0,0,0
1,22,306,COLORING,ROM,0,0,0,0,0,0
1,22,306,COLORING,SUR,0,0,0,0,0,0
1,22,306,COLORING,FCT,0,0,0,0,0,0
1,22,306,COLORING,FSD,0,0,0,0,0,0
1,22,306,COLORING,COM,0,0,0,0,0,0
1,23,384,COLORING,TIT,0,0,0,0,0,0
1,23,384,COLORING,PIC,0,0,0,0,0,0
